ID	type	name	pathway	scaffold	function	uniprot	ncbiprotein	pubmed	doi	note
TP0251	P450	CYP716A244	triterpenoid	β-amyrin	28-oxidase	A0A1P8W705		28012567		
TP0252	P450	CYP716A249	triterpenoid	β-amyrin	28-oxidase	A0A1Z2WUZ8		33268701		
TP0253	P450	CYP716A252	triterpenoid	α-amyrin|β-amyrin	28-oxidase	A0A161ABI1		28967669		
TP0254	P450	CYP716A253	triterpenoid	α-amyrin|β-amyrin	28-oxidase	A0A161ABB0		28967669		
TP0255	P450	CYP716A259	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A3G9ICU8		31892821		
TP0256	P450	CYP716A265	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A3S9W0N3		30472753		
TP0257	P450	CYP716A266	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A3S9W0N6		30472753		
TP0258	P450	CYP716A268|SOAP2	triterpenoid	β-amyrin	28-oxidase		KNA14400.1	32424305		
TP0259	P450	CYP716A297|Qs0322000	triterpenoid	β-amyrin	16α-hydroxylase		WEU75088.1	36952412		
TP0260	P450	CYP716C11	triterpenoid	β-amyrin	2α-hydroxylase	A0A1I9Q5Y7		28165039		
TP0261	P450	CYP716C49	triterpenoid	β-amyrin	2α-hydroxylase	A0A4P2TT22		30339834		
TP0262	P450	CYP716C52	triterpenoid	friedelin	2α-hydroxylase		WEW62269.1	37365337		
TP0263	P450	CYP716C53	triterpenoid	α-amyrin|β-amyrin	2α-hydroxylase	A0A3G9HX35		31892821		
TP0264	P450	CYP716C55	triterpenoid	α-amyrin|β-amyrin	2α-hydroxylase	A0A3S9W0V9		30472753		
TP0265	P450	CYP716E26	triterpenoid	α-amyrin|β-amyrin	6β-hydroxylase	A0A3Q7HS74		28194155		
TP0266	P450	CYP716E41	triterpenoid	β-amyrin	6β-hydroxylase	A0A1I9Q5Y6		28165039		
TP0267	P450	CYP714E52|Qs0148690	triterpenoid	β-amyrin	23-oxidase		WEU75106.1	36952412		
TP0268	P450	CYP716S1v2	triterpenoid	dammarenediol-II	6α-hydroxylase	I7CT85		22875608		renamed from CYP716A53v2 (pubmed:28194155)
TP0269	P450	CYP716S5	triterpenoid	β-amyrin	12,13α-epoxidase	A0A1I9Q5Z1		28165039		
TP0270	P450	CYP716U1	triterpenoid	dammarenediol-II	12β-hydroxylase	H2DH16		22039120		renamed from CYP716A47 (pubmed:28194155)
TP0271	P450	CYP716Y1	triterpenoid	α-amyrin|β-amyrin	16α-hydroxylase	W0FW87		24434554		
TP0272	P450	CYP716AC1	triterpenoid	tirucalla-7,24-dien-3β-ol	3-oxidase		WCJ12484.1	36701471		
TP0273	P450	CYP716AD2	triterpenoid	tirucalla-7,24-dien-3β-ol	oxidase	V4TSA7		36701471		
TP0274	P450	CYP716AD4	triterpenoid	tirucalla-7,24-dien-3β-ol	oxidase		WBW48728.1	36701471		
TP0275	P450	IaAO2	triterpenoid	α-amyrin|β-amyrin	28-oxidase		UKI59124.1	35422828		
TP0276	P450	CYP724A1	steroid		22S-hydroxylase	A0A1P8BDE8		22196800		
TP0277	P450	CYP724B1|D11	steroid		22S-hydroxylase	Q6F4F5		16369540		
TP0278	P450	CYP724B2	steroid		22S-hydroxylase	A0ZS62		16960392		
TP0279	P450	CYP734A1|BAS1	steroid		26-hydroxylase	O48786		14605216		
TP0280	P450	CYP734A7	steroid		26-hydroxylase	Q0X087		16872648		
TP0281	P450	CYP749A63	triterpenoid	β-amyrin	24-hydroxylase	A0A4P2PRK0		30339834		
TP0282	UGT	UGT71A27	triterpenoid	dammarenediol-II	20-O-glucosyltransferase	A0A0A7HB61		28243734		
TP0283	UGT	UGT71A29	triterpenoid	dammarenediol-II	20-O-glucosyltransferase|glucosyltransferase			30095259		manual translation of insdc:MH638345.1
TP0284	UGT	UGT71A53|UGTPg1	triterpenoid	dammarenediol-II	20-O-glucosyltransferase	A0A068J840		24603359		
TP0285	UGT	UGT71A54|UGTPg100	triterpenoid	dammarenediol-II	6-O-glucosyltransferase	A0A0K0PVW1		26032089		
TP0286	UGT	UGT71A55|UGTPg101	triterpenoid	dammarenediol-II	6-O-glucosyltransferase|20-O-glucosyltransferase	A0A0K0PVM5		26032089		
TP0287	UGT	UGT71G1|GT029H	triterpenoid	β-amyrin	glucosyltransferase	Q5IFH7		15743451		
TP0288	UGT	Sg-9	triterpenoid	β-amyrin	DDMP transferase	I1MKT8		30414191		
TP0289	UGT	UGT73B27|GuUGAT	triterpenoid	β-amyrin	3-O-glucuronosyltransferase|glucuronosyltransferase	A0A191UPY1		27252088		
TP0290	UGT	UGT73C10	triterpenoid	α-amyrin|β-amyrin|lupeol	3-O-glucosyltransferase	K4GKX2		23027665		
TP0291	UGT	UGT73C11	triterpenoid	α-amyrin|β-amyrin|lupeol	3-O-glucosyltransferase	K4GGT4		23027665		
TP0292	UGT	UGT73C12	triterpenoid	α-amyrin|β-amyrin|lupeol	3-O-glucosyltransferase|glucosyltransferase	K4GIP0		23027665		
TP0293	UGT	UGT73C13	triterpenoid	α-amyrin|β-amyrin|lupeol	3-O-glucosyltransferase|glucosyltransferase	K4GHS2		23027665		
TP0294	UGT	UGT73C21	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A2R4LME5		29603041		
TP0295	UGT	UGT73C22	triterpenoid	β-amyrin	3-O-glucosyltransferase|28-O-glucosyltransferase	A0A2R4LMG1		29603041		
TP0296	UGT	UGT73C23	triterpenoid	β-amyrin	3-O-glucosyltransferase|28-O-glucosyltransferase	A0A2R4LMG4		29603041		
TP0297	UGT	UGT73C25	triterpenoid	β-amyrin	3-O-glucosyltransferase|28-O-glucosyltransferase	A0A2R4LMF9		29603041		
TP0298	UGT	UGT73C26	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A2R4LME0		29603041		
TP0299	UGT	UGT73C27	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A2R4LME4		29603041		
TP0300	UGT	UGT73F2|Sg-1b	triterpenoid	β-amyrin	glucosyltransferase	I1KN68		22611180		
TP0301	UGT	UGT73F3	triterpenoid	β-amyrin	28-O-glucosyltransferase	D2D583		20348429		
TP0302	UGT	UGT73F4|Sg-1a	triterpenoid	β-amyrin	xylosyltransferase	I7HBP1		22611180		
TP0303	UGT	UGT73F13	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A6S4QPQ3		33199711		
TP0304	UGT	UGT73F17	triterpenoid	β-amyrin	29-O-glucosyltransferase|30-O-glucosyltransferase	A0A346RPJ0		30010690		
TP0305	UGT	UGT73F18	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A6M3R760		32303662		
TP0306	UGT	UGT73F19	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A396GMB3		32303662		
TP0307	UGT	UGT73K1|GT049F	triterpenoid	β-amyrin	glucosyltransferase	Q5IFH8		15743451		
TP0308	UGT	UGT73L1|SaGT4A	steroid		3-O-glucosyltransferase	Q5H861		15821879		
TP0309	UGT	UGT73L4|GAME2	steroid		xylosyltransferase	E5L3S0		23788733		
TP0310	UGT	UGT73L5|GAME1	steroid		3-O-galactosyltransferase	A0A3Q7H9C9		22180624		
TP0311	UGT	UGT73P2|GmSGT2	triterpenoid	β-amyrin	galactosyltransferase	D4Q9Z4		20350545		
TP0312	UGT	UGT73P12	triterpenoid	β-amyrin	glucuronosyltransferase	A0A5A4WN00		31095780		
TP0313	UGT	UGT73AD1	triterpenoid	α-amyrin	28-O-glucosyltransferase	A0A172CP19		28716424		
TP0314	UGT	UGT73AH1	triterpenoid	α-amyrin	28-O-glucosyltransferase	A0A2I7M6C4		29210992		
TP0315	UGT	UGT73BS1|SOAP9	triterpenoid	β-amyrin	xylosyltransferase		KNA07606.1	32424305		
TP0316	UGT	UGT73CU3|Qs0123860	triterpenoid	β-amyrin	galactosyltransferase		WEU75099.1	36952412		
TP0317	UGT	UGT73CX1|Qs0283870	triterpenoid	β-amyrin	xylosyltransferase		WEU75094.1	36952412		
TP0318	UGT	UGT73CX2|Qs0283850	triterpenoid	β-amyrin	rhamnosyltransferase		WEU75095.1	36952412		
TP0319	UGT	UGT73CY2|Qs0234140	triterpenoid	β-amyrin	apiosyltransferase		WEU75102.1	36952412		
TP0320	UGT	UGT73CY3|Qs0234130	triterpenoid	β-amyrin	xylosyltransferase		WEU75103.1	36952412		
TP0321	UGT	UGT74M1	triterpenoid	β-amyrin	28-O-glucosyltransferase	A3E7Y9		17172290		
TP0322	UGT	UGT74AC1	triterpenoid	cucurbitadienol	3-O-glucosyltransferase	K7NBW3		25759326		
TP0323	UGT	UGT74AE2	triterpenoid	dammarenediol-II	3-O-glucosyltransferase	A0A0A6ZFR4		25320211		
TP0324	UGT	UGT74AE4|UGTPg45	triterpenoid	dammarenediol-II	3-O-glucosyltransferase	A0A0D5ZDC8		25769286		
TP0325	UGT	UGT74AG5|IaAU1	triterpenoid	α-amyrin|β-amyrin	28-O-glucosyltransferase	A0A6B9MEW2		32508864		
TP0326	UGT	UGT74BB2|SOAP6	triterpenoid	β-amyrin	28-O-fucosyltransferase		KNA07536.1	32424305		
TP0327	UGT	UGT74BX1|Qs0321930	triterpenoid	β-amyrin	fucosyltransferase		WEU75090.1	36952412		
TP0328	UGT	UGT79K1|SOAP7	triterpenoid	β-amyrin	rhamnosyltransferase		KNA23861.1	32424305		
TP0329	UGT	UGT79L2|SOAP8	triterpenoid	β-amyrin	glucosyltransferase		KNA13786.1	32424305		
TP0330	UGT	UGT91G16	triterpenoid	β-amyrin	glucosyltransferase	A0A6B9QPZ5		31806756		
TP0331	UGT	UGT91H4|GmSGT3	triterpenoid	β-amyrin	rhamnosyltransferase	D4Q9Z5		20350545		
TP0332	UGT	UGT91AR1|Qs0321920	triterpenoid	β-amyrin	rhamnosyltransferase		WEU75091.1	36952412		
TP0333	UGT	UGT91AQ1|Qs0234120	triterpenoid	β-amyrin	xylosyltransferase		WEU75104.1	36952412		
TP0334	UGT	UGT93C1|GAME17	steroid		glucosyltransferase	A0A3Q7HCG1		23788733		
TP0335	UGT	UGT94N1|GAME18	steroid		glucosyltransferase	A0A3Q7H9X4		23788733		
TP0336	UGT	UGT94Q2	triterpenoid	dammarenediol-II	glucosyltransferase	A0A0A6ZFY4		25320211		
TP0337	UGT	UGT99D1|AsAAT1	triterpenoid	β-amyrin	3-O-arabinosyltransferase	A0A3S9LYN2		30429223		
TP0338	UGT	GmSSAT1	triterpenoid	β-amyrin	22-O-arabinosyltransferase	I1KZ41		30429223		
TP0339	UGT	PzGAT1	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A385MJ22		30219960		
TP0340	UGT	PzGAT2	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A385MJ24		30219960		
TP0341	UGT	PzGAT3	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A385MJ23		30219960		
TP0342	UGT	PjGAT	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A385MJ20		30219960		
TP0343	UGT	Pq3-O-UGT2	triterpenoid	dammarenediol-II	glucosyltransferase	A0A0M4ME80		27914321		
TP0344	UGT	Pq3-O-UGT1	triterpenoid	dammarenediol-II	3-O-glucuronosyltransferase	A0A0M4LS39			10.1007/s11240-017-1190-y	
TP0345	other_enzyme	GuCSyGT	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A7I6P8N6		33199711		
TP0346	other_enzyme	LjCSyGT	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A7I6P8A1		33199711		
TP0347	other_enzyme	GmCSyGT1	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	I1KFY7		33199711		
TP0348	other_enzyme	GmCSyGT2	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A7I6P9C6		33199711		
TP0349	other_enzyme	GmCSyGT3	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A7I6P8J7		33199711		
TP0350	other_enzyme	SOAP5|CslG	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A9R0I3X2		32424305		
TP0351	other_enzyme	BvCsl	triterpenoid	β-amyrin	3-O-glucuronosyltransferase		XP_010672125.1	32424305		
TP0352	other_enzyme	CqCsl	triterpenoid	β-amyrin	3-O-glucuronosyltransferase		XP_021721790.1	32424305		
TP0353	other_enzyme	MsCsl	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A7D3QB06		32424305		
TP0354	other_enzyme	GmCsl	triterpenoid	β-amyrin	3-O-glucuronosyltransferase		NP_001352042.1	32424305		
TP0355	other_enzyme	GuCsl	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A7D3QB89		32424305		
TP0356	other_enzyme	LjCsl	triterpenoid	β-amyrin	3-O-glucuronosyltransferase	A0A7D3QAZ4		32424305		
TP0357	other_enzyme	CSLM1|Qs0321900	triterpenoid	β-amyrin	3-O-glucuronosyltransferase		WEU75093.1	36952412		
TP0358	other_enzyme	CSLM2|Qs0000870	triterpenoid	β-amyrin	3-O-glucuronosyltransferase		WEU75105.1	36952412		
TP0359	other_enzyme	AsTG1	triterpenoid	β-amyrin	glucosyltransferase	A0A6B9QTV9		31806756		
TP0360	other_enzyme	BdACT	triterpenoid	isoarborinol	1-O-acetyltransferase	I1I3G8		35412884		
TP0361	other_enzyme	Csa6G088700	triterpenoid	cucurbitadienol	25-O-acetyltransferse	A0A0A0KDD0		25430763		
TP0362	other_enzyme	Melo3C022373|CmACT	triterpenoid	cucurbitadienol	25-O-acetyltransferse	A0A1S3CAV7		27892922		
TP0363	other_enzyme	BsAT1	triterpenoid	3-epi-α-amyrin|3-epi-β-amyrin	3-O-acetyltransferase	A0A8F5M6F3		34165841		
TP0364	other_enzyme	LsTAT1	triterpenoid	α-amyrin|β-amyrin|lupeol|taraxasterol|ψ-taraxasterol|taraxerol	3-O-acetyltransferase		UIW21034.1	35046976		
TP0365	other_enzyme	CsL21AT	triterpenoid	tirucalla-7,24-dien-3β-ol	21-O-acetyltransferse		WCJ12486.1	36701471		
TP0366	other_enzyme	MaL21AT	triterpenoid	tirucalla-7,24-dien-3β-ol	21-O-acetyltransferse		WBW48722.1	36701471		
TP0367	other_enzyme	CsL1AT	triterpenoid	tirucalla-7,24-dien-3β-ol	1-O-acetyltransferase		WCJ12487.1	36701471		
TP0368	other_enzyme	CsL7AT	triterpenoid	tirucalla-7,24-dien-3β-ol	7-O-acetyltransferase	V4SCZ6		36701471		
TP0369	other_enzyme	MaL1AT	triterpenoid	tirucalla-7,24-dien-3β-ol	1-O-acetyltransferase		WBW48725.1	36701471		
TP0370	other_enzyme	MaL7AT	triterpenoid	tirucalla-7,24-dien-3β-ol	7-O-acetyltransferase		WBW48726.1	36701471		
TP0371	other_enzyme	SOAP10	triterpenoid	β-amyrin	acetyltransferase		KNA12459.1	32424305		
TP0372	other_enzyme	SCPL1|Sad7	triterpenoid	β-amyrin	21-O-acyltransferase	C8YJB5		19684243		
TP0373	other_enzyme	THAA1	triterpenoid	thalianol	15-O-acetyltransferase	Q9FI40		31073042		
TP0374	other_enzyme	THAA2	triterpenoid	thalianol|arabidiol|tirucalla-7,24-dien-3β-ol	3-O-acetyltransferase	Q9FGV4		31073042		
TP0375	other_enzyme	THAA3|AtSAT1|ASAT1	triterpenoid	thalianol|arabidiol|tirucalla-7,24-dien-3β-ol|marneral	3-O-acyltransferase	Q9SV07		31073042		also reported as sterol O-acyltransferase (pubmed:17885082)
TP0376	other_enzyme	GmSSAcT1	triterpenoid	β-amyrin	acetyltransferase	I1N4C1		37548097		
TP0377	other_enzyme	THAR1	triterpenoid	thalianol|arabidiol|tirucalla-7,24-dien-3β-ol	3-epimerase	F4J2Z7		31073042		
TP0378	other_enzyme	THAR2	triterpenoid	thalianol|arabidiol|tirucalla-7,24-dien-3β-ol	3-epimerase	F4HQ07		31073042		
TP0379	other_enzyme	St16DOX	steroid		16α-hydroxylase	M1AUM2		28754839		
TP0380	other_enzyme	Sl16DOX	steroid		16α-hydroxylase	Q40131		28754839		
TP0381	other_enzyme	At3βHSD/D1	steroid		3-dehydrogenase|4-decarboxylase	Q9FX01		16835224		
TP0382	other_enzyme	At3βHSD/D2	steroid		3-dehydrogenase|4-decarboxylase	Q67ZE1		16835224		
TP0383	other_enzyme	TaHSD|TaHID	triterpenoid	isoarborinol	3-dehydrogenase	A0A3B6MJM4		35412884		
TP0384	other_enzyme	STE1|DWF7	steroid		5-desaturase	Q39208		9927639		
TP0385	other_enzyme	AtHYD1|A.t.SI1	steroid		8,7-isomerase	O48962		9862498		
TP0386	other_enzyme	CPI1	steroid		cycloisomerase	Q9M643		10788449		
TP0387	other_enzyme	Zm8,7SI	steroid		8,7-isomerase	Q2TU57		18459942		
TP0388	other_enzyme	GAME25	steroid		3-dehydrogenase|5,4-isomerase	Q9LEG3		29784829		
TP0389	other_enzyme	DIM|DWF1	steroid		24-isomerase|24-reductase	Q39085		9761794		
TP0390	other_enzyme	Pa24ISO	steroid		24-isomerase	A0A345GPE6		30082386		
TP0391	other_enzyme	Ws24ISO	steroid		24-isomerase	A0A345GPE5		30082386		
TP0392	other_enzyme	Ca24ISO	steroid		24-isomerase	A0A1U8GWT4		30082386		
TP0393	other_enzyme	PaSSR1	steroid		24-reductase	A0A345GPF0		30082386		
TP0394	other_enzyme	PaSSR2	steroid		24-reductase	A0A345GPF2		30082386		
TP0395	other_enzyme	SMT1	steroid		24-methyltransferase	Q9LM02		10852933		
TP0396	other_enzyme	SMT2	steroid		24(1)-methyltransferase	Q39227		8641446		
TP0397	other_enzyme	SMT3	steroid		24(1)-methyltransferase	Q94JS4		9208946		
TP0398	other_enzyme	SMT1	steroid		24-methyltransferase	Q43445		8621604		
TP0399	other_enzyme	SMT2-1	steroid		24(1)-methyltransferase	D2D5G3		19818974		
TP0400	other_enzyme	SMT2-2	steroid		24(1)-methyltransferase	D2D5G4		19818974		
TP0401	other_enzyme	DET2	steroid		5α-reductase	Q38944		10398719		
TP0402	other_enzyme	DWF5	steroid		7-reductase	Q9LDU6		10758495		
TP0403	other_enzyme	FK	steroid		14-reductase	Q9LDR4		10859166,10859167		
TP0404	other_enzyme	SlSSR1	steroid		24,28-reductase	A0A0C6FQX1		25217510		
TP0405	other_enzyme	SlSSR2	steroid		24,25-reductase	A0A0C6G3Q8		25217510		
TP0406	other_enzyme	StSSR1|dwf1	steroid		24,28-reductase	E1VD15		25217510		
TP0407	other_enzyme	StSSR2	steroid		24,25-reductase	A0A0C6G5J6		25217510		
TP0408	other_enzyme	SMO1-1	steroid		4α-methyl oxidase	Q8L7W5		14653780		
TP0409	other_enzyme	SMO1-2	steroid		4α-methyl oxidase	Q1EC69		14653780		
TP0410	other_enzyme	SMO1-3	steroid		4α-methyl oxidase	F4JLZ6		14653780		
TP0411	other_enzyme	SMO2-1	steroid		4α-methyl oxidase	Q9ZW22		14653780		
TP0412	other_enzyme	SMO2-2	steroid		4α-methyl oxidase	Q8VWZ8		14653780		
TP0413	other_enzyme	GABAT1v2	steroid		26-transaminase	A0A0F6PLQ0		25939370		
TP0414	other_enzyme	CsMOI1	triterpenoid	tirucalla-7,24-dien-3β-ol	isomerase		WCJ12493.1	36701471		
TP0415	other_enzyme	CsMOI2	triterpenoid	tirucalla-7,24-dien-3β-ol	isomerase	A0A067E3D8		36701471		
TP0416	other_enzyme	MaMOI2	triterpenoid	tirucalla-7,24-dien-3β-ol	isomerase		WBW48721.1	36701471		
TP0417	other_enzyme	CsSDR	triterpenoid	tirucalla-7,24-dien-3β-ol	3-dehydrogenase		WCJ12483.1	36701471		
TP0418	other_enzyme	MaSDR	triterpenoid	tirucalla-7,24-dien-3β-ol	3-dehydrogenase		WBW48723.1	36701471		
TP0419	other_enzyme	MaAKR	triterpenoid	tirucalla-7,24-dien-3β-ol	aldo-keto reductase		WBW48727.1	36701471		
TP0420	other_enzyme	CsAKR	triterpenoid	tirucalla-7,24-dien-3β-ol	aldo-keto reductase		WCJ12489.1	36701471		
TP0421	other_enzyme	MaLFS	triterpenoid	tirucalla-7,24-dien-3β-ol	limonoid furan synthase		WBW48729.1	36701471		
TP0422	other_enzyme	CsLFS	triterpenoid	tirucalla-7,24-dien-3β-ol	limonoid furan synthase		WCJ12491.1	36701471		
TP0423	TF	MYC2	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q39204		37188853		
TP0424	TF	bHLH18	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q1PF17		37188853		
TP0425	TF	bHLH19	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q1PF16		37188853		
TP0426	TF	bHLH20	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q8S3F1		37188853		
TP0427	TF	bHLH25	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q9T072		37188853		
TP0428	TF	GL2	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	P46607		37188853		
TP0429	TF	DAG1	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q43385		37188853		
TP0430	TF	Bl|Csa5G156220	triterpenoid	cucurbitadienol	regulation of cucurbitacin biosynthesis	A0A097IYN6		25430763		
TP0431	TF	Bt|Csa5G157230	triterpenoid	cucurbitadienol	regulation of cucurbitacin biosynthesis	A0A097IYP0		25430763		
TP0432	TF	GubHLH3	triterpenoid	β-amyrin	regulation of soyasapogenol B biosynthesis	A0A2Z6BDF1		29648666		
TP0433	TF	TSAR1	triterpenoid	β-amyrin	regulation of soyasaponin biosynthesis	G7KSG4		26589673		
TP0434	TF	TSAR2	triterpenoid	β-amyrin	regulation of hemolytic saponin biosynthesis	A0A072UWR1		26589673		
TP0435	TF	TSAR3	triterpenoid	β-amyrin	regulation of hemolytic saponin biosynthesis	A0A6M3RAT3		32303662		
TP0436	TF	GAME9|JRE4	steroid		regulation of steroidal alkaloid biosynthesis		XP_004229751.1	26876023,27084593		
TP0437	TF	WsWRKY1	steroid		regulation of withanolide biosynthesis	A0A220QM81		28649699		
TP0438	TF	MYB186	triterpenoid	α-amyrin|β-amyrin|lupeol	regulation of wax triterpenoid biosynthesis	B9HI97		35298644		
TP0439	TF	MYB138	triterpenoid	α-amyrin|β-amyrin|lupeol	regulation of wax triterpenoid biosynthesis	B9HI92		35298644		
TP0440	TF	MYB38	triterpenoid	α-amyrin|β-amyrin|lupeol	regulation of wax triterpenoid biosynthesis	B9HXX6		35298644		
