type	name	pathway	substrate_scaffold	function	uniprot	ncbiprotein	pubmed	doi	note
OSC	BgLUS	triterpenoid		lupeol synthase	A8CDT3		17803686		
OSC	GgLUS1	triterpenoid		lupeol synthase	Q764T8		15256745		
OSC	KdLUS	triterpenoid		lupeol synthase	E2IUA9		20610397		
OSC	OSC3	triterpenoid		lupeol synthase	Q2WGL7			10.1016/j.plantsci.2005.08.027	
OSC	OEW	triterpenoid		lupeol synthase	Q9SLW3		10542078		
OSC	RcLUS	triterpenoid		lupeol synthase	Q2XPU7		16445885		
OSC	TRW	triterpenoid		lupeol synthase	Q9SLW1		10542078		
OSC	LUP1	triterpenoid		lupeol synthase	Q9C5M3		9883589		
OSC	CqOSC10	triterpenoid		lupeol synthase		XP_021715868.1	37904576		
OSC	LUP2-G	triterpenoid		lupeol synthase	A0A0U2JZA6		26333142		
OSC	LUP2-P	triterpenoid		lupeol synthase	A0A0U2SMN5		26333142		
OSC	MdOSC5	triterpenoid		lupeol synthase	A0A142LT04		27214242		
OSC	LsOSC1	triterpenoid		lupeol synthase	A0A3S9W0K7		30472753		
OSC	MRN1|PEN5	triterpenoid		marneral synthase	Q9FJV8		16425307		
OSC	THAS1|PEN4	triterpenoid		thalianol synthase	Q9FI37		15125655		
OSC	SHS1	triterpenoid		shionone synthase	F8WQD0		21377465		
OSC	KdGLS	triterpenoid		glutinol synthase	E2IUA7		20610397		
OSC	KdFRS	triterpenoid		friedelin synthase	E2IUA8		20610397		
OSC	KdTAS	triterpenoid		taraxerol synthase	E2IUA6		20610397		
OSC	LcIMS1	triterpenoid		isomultiflorenol synthase	Q948R6		11733028		
OSC	OsIAS	triterpenoid		isoarborinol synthase			22150097		manual translation of insdc:AK067451.1
OSC	PNA	triterpenoid		dammarenediol-II synthase	Q08IT1		16962103		
OSC	StrBOS	triterpenoid		baccharis oxide synthase	B9X0J1		18850716		
OSC	BARS1|PEN2	triterpenoid		baruol synthase	O23390		17705488		
OSC	CAMS1|LUP3	triterpenoid		camelliol C synthase	P0C8Y0		17985917		
OSC	RsM1	triterpenoid		germanicol synthase	A8C980		17803686		
OSC	MdOSC4	triterpenoid		germanicol synthase	A0A142LT03		27214242		
OSC	RsM2	triterpenoid		taraxerol synthase	A8C981		17803686		
OSC	LUP5	triterpenoid		tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase	Q9FZI2			10.1351/pac200375020369	
OSC	PEN3	triterpenoid		tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase	Q9LVY2		19445469		
OSC	MaOSC1	triterpenoid		tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase	A0A5B8NBE6		31371503		
OSC	CsOSC1	triterpenoid		tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase		XP_006468116.1	31371503		
OSC	AiOSC1	triterpenoid		tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase	A0A5B8NBN0		31371503		
OSC	AaOSC2	triterpenoid		tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase		UTU07506.1	36082289		
OSC	PEN1	triterpenoid		arabidiol synthase	Q9FR95		16774269,17474751		
OSC	CqOSC2|CqQS	triterpenoid		(−)-quinoxide A synthase		XP_021761950.1	37904576		
OSC	PEN6	triterpenoid		seco-amyrin synthase (β-seco-amyrin, α-seco-amyrin)	Q9SYN1		17263431		
OSC	PSM	triterpenoid		mixed amyrin synthase (α-amyrin, β-amyrin)	Q9LRH7		10848960		
OSC	LUP2|YUP8H12R.43	triterpenoid		multifunctional triterpene synthase (taraxasterol, β-amyrin, etc.)	Q8RWT0			10.1016/S0040-4039(00)01347-2	
OSC	CSOSC2	triterpenoid		multifunctional triterpene synthase (lupeol, germanicol, β-amyrin)	Q8VWY3		11995928		
OSC	KcMS	triterpenoid		multifunctional triterpene synthase (lupeol, β-amyrin, α-amyrin)	Q05K37		17078982		
OSC	AMY2	triterpenoid		multifunctional triterpene synthase (lupeol, β-amyrin)	Q84PE1		12683345		production of β-amyrin, dihydrolupeol in Nicotiana benthamiana (pubmed:23909862)
P450	CYP51G1	steroid		14α-demethylase	P93846		9076987		
P450	CYP51G1	steroid		14α-demethylase	Q9SAA9		11437378		
P450	CYP51H10|Sad2	triterpenoid	β-amyrin	12,13β-epoxidase|16β-hydroxylase	A1BQV1		23940321		
P450	CYP51H14|BdHIH	triterpenoid	isoarborinol	7β-hydroxylase|28-hydroxylase		UPL51493.1	35412884		
P450	CYP51H15|BdIAH	triterpenoid	isoarborinol	19α-hydroxylase	I1I3G9		35412884		
P450	CYP51H16|BdTIH	triterpenoid	isoarborinol	1β-hydroxylase	I1I3H0		35412884		
P450	CYP51H35|TaIAH	triterpenoid	isoarborinol	19α-hydroxylase		UPL51485.1	35412884		
P450	CYP51H37|TaHIO	triterpenoid	isoarborinol	25-hydroxylase	A0A3B6MJD7		35412884		
P450	CYP71A16|MRNO|MRO	triterpenoid	marneral	23-hydroxylase	Q9FH66		23570231		
P450	CYP71BQ4	triterpenoid	tirucalla-7,24-dien-3β-ol	21-oxidase		XP_006469495.1	31371503		
P450	CYP71BQ5	triterpenoid	tirucalla-7,24-dien-3β-ol	21-oxidase	A0A5B8NEF2		31371503		
P450	CYP71BQ17	triterpenoid	tirucalla-7,24-dien-3β-ol	21-oxidase		UTU07509.1	36082289		
P450	CYP71CD1	triterpenoid	tirucalla-7,24-dien-3β-ol	23R-hydroxylase|24,25-epoxidase	A0A067GFT7		31371503		
P450	CYP71CD2	triterpenoid	tirucalla-7,24-dien-3β-ol	23R-hydroxylase|24,25-epoxidase	A0A5B8NBK9		31371503		
P450	CYP71CD4	triterpenoid	tirucalla-7,24-dien-3β-ol	23R-hydroxylase|24,25-epoxidase		UTU07508.1	36082289		
P450	CYP71D353	triterpenoid	dihydrolupeol	20-hydroxylase|28-oxidase	A0A023IZ17		23909862		
P450	CYP71D443	steroid		22R-hydroxylase	A0A0M4U0E0		27017303		
P450	CYP72A61v2	triterpenoid	β-amyrin	22β-hydroxylase	H1A980		23378447		
P450	CYP72A62v2	triterpenoid	β-amyrin	21-hydroxylase|29-oxidase	H1A982		31850023		
P450	CYP72A63	triterpenoid	β-amyrin	30-oxidase	H1A981		22128119		
P450	CYP72A64v2	triterpenoid	β-amyrin	29-oxidase	A0A5P8TXK3		31850023		
P450	CYP72A65v2	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase	H1A983		31850023		
P450	CYP72A66v2	triterpenoid	β-amyrin	22β-hydroxylase|29-hydroxylase|30-oxidase	A0A5P8TY60		31850023		
